ID, question, Option 1, Option 2, Option 3, Option 4, Answer
1,"Economics deals primarily with the concept of","change.","power.","poverty.","scarcity.","scarcity."
2,"Scarcity exists when","the price of a good rises.","society can meet the wants of every individual.","there is less of a good or resource available than people wish to have.","there is less than an infinite amount of a resource or good.","there is less of a good or resource available than people wish to have."
3,"Economics is defined as the study of","how society manages its scarce resources.","business.","central planning.","government regulation.","how society manages its scarce resources."
4,"A good definition of equity would be","efficiency.","eliminating extreme affluence.","fairness.","everyone receiving the same income.","fairness."
5,"When government policies are being designed,","increasing efficiency usually results in more equity.","there is usually a tradeoff between equity and efficiency.","equity can usually be achieved without an efficiency loss.","equity and efficiency goals are usually independent of each other.","there is usually a tradeoff between equity and efficiency."
6,"The opportunity cost of an item is","what you give up to get that item.","always equal to the dollar value of the item.","always less than the dollar value of the item.","the number of hours needed to earn the money to buy it.","what you give up to get that item."
7,"Ryan spends an hour studying instead of going for a bike ride. The opportunity cost to him of studying is","the improvement in his grades from studying for the hour.","the enjoyment and exercise he would have received had he gone for a bike ride.","the difference between the improvement in his grades from studying minus the enjoyment of a bike ride.","zero. Since Ryan chose to study rather than to ride his bike, the value of studying must have been greater than the value of the bike ride.","the enjoyment and exercise he would have received had he gone for a bike ride."
8,"A rational decision maker takes an action only if the","marginal benefit is greater than the marginal cost.","average benefit is greater than the average cost.","marginal benefit is less than the marginal cost.","marginal benefit is greater than both the average cost and the marginal cost.","marginal benefit is greater than the marginal cost."
9,"A marginal change is a","long-term trend.","change for the worse.","small incremental adjustment.","large, significant adjustment.","small incremental adjustment."
10,"Economists understand that people respond to","the wishes of policymakers.","tax breaks, but not tax hikes.","threats more than rewards.","incentives.","incentives."
11,"Which is the most accurate statement about trade?","Trade can make every nation better off.","Trade makes some nations better off and others worse off.","Trade helps rich nations and hurts poor nations.","Trading for a good can make a nation better off only if the nation cannot produce that good.","Trade can make every nation better off."
12,"If Canada is better than the United States at producing hockey sticks, but the United States is better than Canada at producing roller blades, the United States should","put a quota on the amount of Canadian hockey sticks imported.","subsidize its hockey stick industry so that it can compete with Canadian hockey sticks.","sell roller blades to Canada, and buy Canadian hockey sticks.","impose a tariff on Canadian hockey sticks in order to protect jobs in the U.S. roller blade industry.","sell roller blades to Canada, and buy Canadian hockey sticks."
13,"In a market economy, economic activity is guided by","the government.","corporations.","central planners.","prices.","prices."
14,"One advantage market economies have over central planning is that market economies","solve the problem of scarcity.","are more efficient.","establish government economic control.","provide an equal distribution of goods and services to consumers.","are more efficient."
15,"The term market failure refers to","an unsuccessful advertising campaign.","a situation in which the market on its own fails to allocate resources efficiently.","a situation in which competition among firms becomes ruthless.","a firm which is forced out of business because of losses.","a situation in which the market on its own fails to allocate resources efficiently."
16,"An externality is the impact of","a person’s actions on that person’s well-being.","society’s decisions on the well-being of society.","one person’s actions on the well-being of a bystander.","society’s decisions on the well-being of one person.","one person’s actions on the well-being of a bystander."
17,"If a copper refinery does NOT bear the entire cost of the smoke it emits, it will","emit too much smoke.","emit lower levels of smoke.","emit an acceptable level of smoke.","eliminate all smoke so as to avoid the entire cost of the smoke.","emit too much smoke."
18,"The two best reasons for a government to intervene in a market are to","promote equity and to raise revenues.","promote equity and to promote efficiency.","promote efficiency and to raise revenues.","raise revenues and to promote stability.","promote equity and to promote efficiency."
19,"Market power refers to the","power of the government to regulate a market.","relative importance of a market to the overall economy.","power of a single person (or small group of people) to unduly influence market prices.","ability of a person or group of people to successfully market new products.","power of a single person (or small group of people) to unduly influence market prices."
20,"The income of a typical worker in a country is most closely linked to which of the following?","population","government policies","labor unions","productivity","productivity"
21,"Almost all variation in living standards is attributable to differences in countries’","population growth rates.","endowments of natural resources.","defense budgets.","productivity.","productivity."
22,"Productivity is defined as the","amount of goods and services produced from each hour of a worker’s time.","number of workers required to produce a given amount of goods and services.","amount of labor which can be saved by replacing workers with machines.","actual amount of effort workers put into an hour of working time.","amount of goods and services produced from each hour of a worker’s time."
23,"Inflation is defined as","a period of rising productivity in the economy.","an increase in the overall level of prices in the economy.","a period of rising income in the economy.","an increase in the overall level of output in the economy.","an increase in the overall level of prices in the economy."
24,"Inflation causes","productivity to increase.","the value of money to rise.","the value of money to fall.","the government to lower taxes.","the value of money to fall."
25,"Which of the following is the most correct statement about the relationship between inflation and unemployment?","In the long run, reducing inflation is associated with rising unemployment.","In the short run, reducing inflation is associated with falling unemployment.","In the long run, reducing inflation is associated with falling unemployment.","In the short run, reducing inflation is associated with rising unemployment.","In the short run, reducing inflation is associated with rising unemployment."
26,"Scarcity is the result of","an unfair distribution of income.","taxes that are too low.","taxes that are too high.","too few resources to satisfy society’s desires.","too few resources to satisfy society’s desires."
27,"A good is considered to be scarce in a society when","firms could be producing more of the good but have decided not to.","the government places a tax on the good in an attempt to lower the demand for it.","everyone in that society cannot have all they want of the good.","only the richest people in the economy can buy all they want of the good.","everyone in that society cannot have all they want of the good."
28,"Economics is the study of","the government’s role in society.","how society manages its scarce resources.","how to operate a profitable business.","successful stock market investing.","how society manages its scarce resources."
29,"Efficiency is most closely defined by which of the following?","absolute fairness","minimum waste","equal distribution","consumer sovereignty","minimum waste"
