ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
1,"There is a tremendous gap between youth and the elderly in all of the following EXCEPT","political knowledge.","political participation.","political interest.","volunteering.","media use.","volunteering."
2,"Political knowledge","is greater among youth than the elderly.","fosters political tolerance.","is not that important in a democracy.","is generally high in the United States.","none of the above","fosters political tolerance."
3,"Voter turnout matters because","federal funds are allocated on the basis of the number of voters in a congressional district.","better candidates are selected when more people vote.","politicians pay more attention to those who vote than to those who do not vote.","it makes citizens feel better.","it makes our country look better.","politicians pay more attention to those who vote than to those who do not vote."
4,"Government is defined as the","organization that brings problems to the attention of public officials.","body that is concerned with economic problems while leaving social problems to other institutions of society.","agency that implements policies that have been enacted by other institutions of the political system.","executive branch and its agencies.","institutions and processes through which public policies are made for society.","institutions and processes through which public policies are made for society."
5,"The policymaking institutions of the American national government include all of thefollowing EXCEPT","the Supreme Court.","the presidency.","political parties.","Congress.","the Senate.","political parties."
6,"One advantage of the Internet for democracy is that it","provides less information than newspapers.","makes it easy to avoid political topics.","makes it easier for citizens to communicate directly with government.","will provide more political information to political elites.","none of the above","makes it easier for citizens to communicate directly with government."
7,"Things that are indivisible, nonexclusive, and that everyone can share are called","intangible property.","socialized.","community property.","communist.","public goods.","public goods."
8,"Governments in the modern world, whether democratic or not, are similar in doing all of thefollowing EXCEPT","protecting citizens ¹ civil liberties.","maintaining a national defense.","providing public goods.","collecting taxes.","providing public services.","protecting citizens ¹ civil liberties."
9,"A public good is defined as","something in which any member of society can share.","something provided by the government that cannot be provided by the private sector.","a choice that government makes in response to a political issue.","a public policy that is good for the nation as a whole.","all of the above","something in which any member of society can share."
10,"Which of the following statements about public goods is FALSE?","The government usually provides public goods.","Public goods are things that everyone can share.","Individuals have powerful incentives to provide public goods.","Public goods are not profitable.","Public goods are indivisible and nonexclusive.","Individuals have powerful incentives to provide public goods."
11,"All governments","provide public goods and socialize citizens into the political and social system.","ensure safety on the high seas and promote free enterprise.","maintain national parks and a national defense.","guarantee a capitalist economy and collect taxes.","hold elections.","provide public goods and socialize citizens into the political and social system."
12,"All governments","have written constitutions.","are elected.","have a legislature.","provide services.","have a president.","provide services."
13,"Which of the following statements about taxes is TRUE?","One out of every three dollars earned by an American citizen is used to pay taxes.","Despite the image presented by the media, survey data reveal that Americans feel they are getting their money's worth for the taxes they pay.","About one-tenth of the average American citizen's salary goes to taxes.","The tax burden in the United States is higher than in most other democratic nations.","All of these are true.","One out of every three dollars earned by an American citizen is used to pay taxes."
14,"An interest group so single-minded that its members often vote on only one issue, ignoring apolitician's stand on everything else, is known as","a one-issue group.","a uni-issue group.","a hot-button group.","a single-issue group.","a mono-issue group.","a single-issue group."
15,"When compared with the rest of the world, America has a relatively low","number of offices up for election.","number of candidates who seek office.","frequency of elections.","voter turnout in elections.","all of the above","voter turnout in elections."
16,"Many politicians believe that single-issue groups","stimulate the political system to solve public policy problems.","are essential to democracy.","complicate efforts to seek the middle ground on various issues.","play a unifying role in American politics.","do not affect policymaking.","complicate efforts to seek the middle ground on various issues."
17,"Politics is defined by Harold Lasswell as","conflict in society.","the exercise of power.","the resolution of conflict in a way that serves the public.","who gets what, when, and how.","a course of action to solve a problem.","who gets what, when, and how."
18,"Single-issue groups","are rapidly losing prominence in American politics.","usually run their own candidates for public office.","have little sympathy for compromising.","help facilitate the construction of a cohesive national public policy.","are highly regarded by political scientists for their contributions to democracy.","have little sympathy for compromising."
19,"Which of the following statements best describes voter turnout in the United States?","Among democratic nations, the United States leads the world in voter turnout.","Voter turnout in the United States is constitutionally mandated.","Voters are usually a microcosm of the entire body of American citizens.","Most American voters consider politics as critical to their interests.","The United States has one of the lowest voter turnout rates in the world.","The United States has one of the lowest voter turnout rates in the world."
20,"The list of problems to which political leaders are paying serious attention is a(n)","problem set.","policy agenda.","issue constellation.","legislative package.","none of the above","policy agenda."
21,"________ is the process by which policy comes into being and evolves over time.","Democracy","A policymaking system","A constellation","The bureaucracy","Government","A policymaking system"
22,"The process from above is","a policymaking system.","political decision making.","a policy agenda.","a government.","a linkage institution.","a policymaking system."
23,"An example of public policymaking would be","Congress and the president deciding not to act on the AIDS crisis.","a majority of the public supporting the idea of government dealing with unemployment.","the president meeting with the heads of oil companies.","the press creating public concern about racial discrimination.","all of the above","Congress and the president deciding not to act on the AIDS crisis."
24,"All of the following are parts of the policymaking system EXCEPT","public goods.","policymaking institutions.","linkage institutions.","people's political interests.","policy.","public goods."
25,"Which of the following statements about a government's policy agenda is FALSE?","When you vote, you are partly looking at whether a candidate shares your agenda or not.","Bad news gets an issue on the policy agenda more quickly than good news.","When people confront government officials with problems to be solved, they are trying to influence the government's policy agenda.","A government's policy agenda tends to remain constant over time.","None of the above; all are true.","A government's policy agenda tends to remain constant over time."
26,"A political party is a key ________ in America¹s democratic system.","stimulus-response","linkage institution","input","majoritarian inhibitor","output","linkage institution"
27,"In a democratic society, parties, elections, interest groups and the media are all examples of ________ between the preferences of citizens and the government's policy agenda.","cross-pollination","inputs and outputs","ideological bridges","obstacles","linkage institutions","linkage institutions"
28,"Which of the following is NOT a linkage institution?","political parties","the media","interest groups","Congress","All of these are linkage institutions.","Congress"
29,"Which of these is a linkage institution?","USA Today","the president's cabinet","the House of Representatives","the ambassador to France","all of the above","USA Today"
