ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
1,"Pan-Slavism in the late 19c sought to unite all of the following into a single entity EXCEPT?:","Poland.","Bulgaria.","Germany.","Russia.","the Czechs.","Germany."
2,"The disestablishment of the Church of Ireland and the passage of laws to protect the Irish tenant farmer occurred during the first ministry of?:","Benjamin Disraeli.","Herbert Spenser.","Lloyd George.","William Glastone.","Lord Palmerston.","William Glastone."
3,"Bismarck\'s  Kulturkampf  represented an effort to?:","undermine the influence of the socialists in Germany.","point out to Europeans the true nature of the so-called Yellow Peril.","strengthen anti-French feelings in Germany on the eve of the Franco-Prussian War.","halt the spread of Pan-Slavism in the Balkans.","weaken the political influence of the Catholic Church in Germany.","weaken the political influence of the Catholic Church in Germany."
4,"The unification of Italy was primarily due to?:","the activist of the Carbonari.","the success of Cavour and Garibaldi together with the French defeat in the Franco-Prussian War.","the activities of nationalists who wished to return to the glories of the Roman Empire.","Prussian pressure on Austria to cede Venetia to Italy.","religious zealots seeking to develop a papal theocracy in Italy.","the success of Cavour and Garibaldi together with the French defeat in the Franco-Prussian War."
5,"Proponents of nationalism in the mid-19c espoused?:","adopting a common European language.","universal human rights.","the creation of utopian socialist communes throughout Western Europe.","free trade to promote industrial development.","the idea that different peoples had distinct historical missions.","the idea that different peoples had distinct historical missions."
6,"The  Risorgimento  was the name of?:","the emergence of a prosperous Europe from the ashes of World War II.","the movement to unify Italy.","the high cultural achievements of the Italian Renaissance.","Napoleonic rule in Italy.","the movement to unify Germany.","the movement to unify Italy."
7,"Count Camillo Cavour hoped to unify Italy by means of?:","conquest of the Papal States and the Kingdom of Naples.","popular revolts against foreign rulers.","a military alliance with France against Austria.","a democratic plebiscite in all Italian-speaking areas.","a military alliance with Prussia against France.","a military alliance with France against Austria."
8,"The primary goal of Bismarck\'s foreign policy was?:","maintain the diplomatic isolation of France.","prepare for war with Britain.","expand the frontiers of the German Empire.","advance into the Balkans.","prepare for a colonial empire.","maintain the diplomatic isolation of France."
9,"The Catholic Emancipation Act allowed Roman Catholics in England?:","complete freedom of worship.","exemption from income taxes.","to attend Oxford and Cambridge.","to hold public office.","to build larger churches.","to hold public office."
10,"Under the terms of the Act of Union of 1801?:","Ireland lost its own legislature and instead sent representatives to London.","Ireland was granted the right to establish its own legislative body.","Catholics were allowed to sit in Parliament.","Protestant areas were separated from the rest of Ireland.","all of these choices are correct.","Ireland lost its own legislature and instead sent representatives to London."
11,"The Compromise of 1867 transformed the Habsburg Empire into?:","four separative administrative units.","a confederation of Slavic states.","a republic.","a dependency of Germany.","a Dual Monarchy.","a Dual Monarchy."
12,"Which was the most prominent obstacle to the unification of both Germany and Italy?:","privileged classes of each country.","Russian nationalism.","the Papacy.","Austria.","Napoleon III.","Austria."
13,"Prussia : German unification :: _____ : Italian unification.","Ventian Republic.","Piedmont-Sardinia.","Rome.","the Kingdom of the Two Sicilies.","Montenegro.","Piedmont-Sardinia."
