ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
1,"Colonial law generally defined slaves as chattels. This meant that slaves were considered as?:","human beings with limited rights.","pieces of property with no rights.","servants who served for a limited period of time.","slaves who received freedom upon the death of their masters.","employees who received pay for their work.","pieces of property with no rights."
2,"Colonial cities functioned primarily as?:","mercantile centers for collecting agricultural goods and distributing imported manufactured goods.","places where most poor immigrants settled and worked as independent artisans.","centers where large scale financial and banking operations were conducted.","places to which wage earners commuted from numerous surrounding communities.","centers of light manufacturing.","mercantile centers for collecting agricultural goods and distributing imported manufactured goods."
3,"According to the Whig ideology, the best defense against corruption and tyranny rested in the?:","increased power of the executive.","maintenance of a strong standing army.","suppression of dissent and sedition.","eternal vigilance by the people.","centers of light manufacturing.","eternal vigilance by the people."
4,"Between 1650 and 1750, family life in the English colonies changed such that in?:","both northern and southern colonies, it grew more patriarchal.","northern colonies it grew less patriarchal, while in southern colonies it grew more patriarchal.","both northern and southern colonies, it grew less patriarchal.","northern colonies it grew more patriarchal, while in southern colonies it grew less patriarchal.","centers of light manufacturing.","northern colonies it grew less patriarchal, while in southern colonies it grew more patriarchal."
5,"By the early 1700s, the slave codes of the English colonies in North America established all of the following rules EXCEPT","made slavery a permanent condition.","limited the rights of slaves severely.","provided that the children of slaves would also be slaves.","allowed a slave with some white ancestry to apply for freedom.","centers of light manufacturing.","allowed a slave with some white ancestry to apply for freedom."
6,"Anglo-American women in colonial times?:","could own property or execute legal documents only if they were widowed or unmarried.","enjoyed more liberties and rights than did Native American women.","attended church less frequently than did Anglo-American men.","were more likely than men to do agricultural work.","were required by law to learn to read and write, in order to teach their children.","could own property or execute legal documents only if they were widowed or unmarried."
7,"The Salem Village witchcraft crisis occurred for which of the following reasons?:","experiencing feelings of powerlessness and insecurity, many Puritans found in witchcraft an explanation for the disorder and change around them.","as the poor felt more and more powerless, they tried to take out their frustrations on the wealthy by charging them with practicing witchcraft.","old-guard Puritans created the crisis to regain their power and restore morality to the community.","the crisis was primarily the result of a power struggle among leading Puritan families.","were required by law to learn to read and write, in order to teach their children.","experiencing feelings of powerlessness and insecurity, many Puritans found in witchcraft an explanation for the disorder and change around them."
8,"Benjamin Franklin's concept of the  ideal American  differed from John Winthrop's in which of the following ways?:","Franklin included women and blacks; Winthrop did not.","Franklin emphasized devotion to one's family; Winthrop emphasized devotion to God.","Franklin emphasized political activism; Winthrop shunned political involvement.","Franklin valued individualism; Winthrop valued the submission of individual will to the good of the community.","were required by law to learn to read and write, in order to teach their children.","Franklin valued individualism; Winthrop valued the submission of individual will to the good of the community."
9,"Thomas Jefferson once observed that the best school of political liberty the world ever saw was the?:","College of William and Mary.","New England town meeting.","Chesapeake plantation system.","Virginia House of Burgesses.","Congregationalist meeting house.","New England town meeting."
10,"Which of the following is NOT TRUE of English colonial families in mid-18c America?:","physical punishment was the normal method of enforcing unquestioned obedience from children.","women lost virtually all of their legal rights as individuals once they married.","most families bore children who lived long enough to bear children of their own.","more than 90% of families lived in rural areas at about this time.","women, while subservient to their husbands, set the moral standards by which children were raised and decided how the children would be educated and trained.","women, while subservient to their husbands, set the moral standards by which children were raised and decided how the children would be educated and trained."
11,"What did the Great Awakening, inter-colonial trade and American attitudes toward English culture and constitutional","they created disdain for England.","they contributed to a growing sense of shared American identity.","they created a rebellious spirit in America.","they helped create imperial rivalry between England and France.","women, while subservient to their husbands, set the moral standards by which children were raised and decided how the children would be educated and trained.","they contributed to a growing sense of shared American identity."
12,"The decade of the 1950s in the United States was characterized by which of the following?:","more women than men in the legal and medical professions.","a declining birth rate.","widespread use of oral contraceptives.","a steady rise in the number of women employees in the overall work force.","a decline in the life expectancy of women.","a steady rise in the number of women employees in the overall work force."
13,"All of the following factors promoted the growth of suburbs EXCEPT?:","low-cost government loans.","expanded road and highway construction.","laws forbidding residential segregation by races.","increased automobile production.","a decline in the life expectancy of women.","laws forbidding residential segregation by races."
14,"The mood of the  Beat Generation  is best reflected in which of the following?:","Jack Kerouac's  On the Road .","F. Scott Fitzgerald's  This Side of Paradise .","Arthur Miller's  Death of a Salesman .","J. D. Sallinger's  Catcher in the Rye .","James Joyce's  Ulysses .","Jack Kerouac's  On the Road ."
15,"Which of the following is TRUE of White Citizens' Councils?:","made up primarily of the white power elite within southern communities, they denounced the racist beliefs of the Ku Klux Klan.","members of these organizations attempted to implement the Brown decision in a peaceful and orderly manner.","made up primarily of rural whites, these organizations advocated the violent overthrow of the government of the United States.","supported by white business and professional people, they used their economic power against black civil rights activists.","James Joyce's  Ulysses .","supported by white business and professional people, they used their economic power against black civil rights activists."
16,"Homeownership in Levittown in the 1950s was stimulated by all of the following EXCEPT?:","standardized construction methods.","extensive car ownership and the expanding highway system.","the migration of African-Americans from the ghettos to the suburbs.","low-cost mortgages from the Federal Housing Administration and the Veterans Administration.","James Joyce's  Ulysses .","the migration of African-Americans from the ghettos to the suburbs."
17,"All of the following are true regarding television during the 1950s EXCEPT?:","it altered eating habits at dinnertime with the appearance of TV trays and frozen TV dinners.","its drama was noted for its  earthiness  and extreme violence.","it is revered as a classic period in television programming--a  golden age of television.","it relied heavily on programming that included the variety show and live drama.","James Joyce's  Ulysses .","its drama was noted for its  earthiness  and extreme violence."
18,"From the mid-1920s to the mid-1950s, the duties of the Hays Office involved which of the following?:","First Amendment complaints against the press.","enforcement of moral standards in motion pictures.","consumer protests against poor railroad service.","supervision of intercollegiate sports.","civil rights litigation in the federal courts.","enforcement of moral standards in motion pictures."
19,"The 1950s saw all of the following demographic shifts EXCEPT?:","some 18 million Americans moved from cities to the suburbs.","more than 5 million Americans moved from the North and East to the South and West.","total United States population grew less than in any previous decade of the 20c.","millions of rural blacks and Puerto Ricans moved to cities.","civil rights litigation in the federal courts.","total United States population grew less than in any previous decade of the 20c."
20,"Silent Spring ?:","argued that the use of DDT was dangerous to the entire food chain.","predicted the consequences of a nuclear power plant  melt-down.","was Beat poet Allen Ginsberg's denunciation of American materialism.","described the lack of political involvement of most Americans during the 1950s.","civil rights litigation in the federal courts.","argued that the use of DDT was dangerous to the entire food chain."
21,"All of the following were reasons why a consumer culture appeared in the 1950s EXCEPT?:","the creation of credit cards and easy payments plans.","an increased ability of advertisers to create demand for new products.","the appearance of new and varied products.","a considerable drop in the prices of consumer goods.","civil rights litigation in the federal courts.","a considerable drop in the prices of consumer goods."
22,"A major cause of the movement to the suburbs in the decades following World War II was?:","the growth of the middle class during the post-World War II period.","greater economic opportunities found in the suburbs.","the availability of comfortable and efficient railroad transportation from suburban to urban centers.","opportunities for minorities to find jobs and homes in the suburbs.","civil rights litigation in the federal courts.","the growth of the middle class during the post-World War II period."
23,"Which of the following developments did NOT occur in American society between 1815 and 1860?:","there was a decline in the importation of slaves.","an active women's rights movement took form.","the percentage of foreign-born people living in the nation declined.","temperance became a major social and political issue.","birth control became more commonplace in middle-class families.","the percentage of foreign-born people living in the nation declined."
24,"The term  Cult of Domesticity  refers to?:","the idealization of women in their roles as wives and mothers during the early 19c.","an aspect of the Salem witchcraft trials of 1692, in which mainly middle-aged matrons were accused of practicing evil magic.","the Shakers, a religious sect founded by Mother Ann Lee in the 18c.","the defense given by antebellum apologists for slavery, who argued that bondage was a form of benevolent paternalism.","the Puritans' insistence on the importance of the family as the cornerstone of their social order.","the idealization of women in their roles as wives and mothers during the early 19c."
25,"The Know-Nothing Party?:","wanted to limit the rights of freed slaves in the South.","advocated prohibiting the teaching of evolution in the public schools.","backed the early efforts of unskilled workers to form unions.","supported the claims of farmers against the railroads.","demanded an end to immigration into the United States.","demanded an end to immigration into the United States."
26,"Large numbers of Irish immigrants came to the United States in the 1840s because of the?:","persecution of Irish Catholics in the rest of Europe.","massive failure of the potato crop in Ireland.","lure of gold in California.","civil war between North Ireland and the rest of the country.","British military aggression in Ireland.","massive failure of the potato crop in Ireland."
27,"All of the following were aspects of Protestantism in the United States during the period 1800-1850 EXCEPT?:","evangelism and revivalism.","the proliferation of Protestant church sects.","the founding of denominational colleges.","a growing consensus for the abolition of slavery.","the growth and spread of both foreign and domestic missionary societies.","a growing consensus for the abolition of slavery."
28,"The art of the Hudson River school may be described as?:","brutally realistic in its depiction of often unpleasant subjects.","concentrating on grimy scenes of everyday life in crowded New York City tenements.","classically romantic, expressing an air of wonder at the mystery of nature.","almost completely abstract.","concerned with portraiture to the exclusion of significant landscape painting.","classically romantic, expressing an air of wonder at the mystery of nature."
29,"Mark Twain's classic stories, such as Tom Sawyer and Huckleberry Finn, were primary examples of the ? trend in","romantic.","gothic.","fantasy.","heroic.","realistic.","realistic."
30,"The Lyceum movement in the United States is a term that refers to which of the following?:","the lectures on educational topics given by a series of speakers who traveled from city to city.","the founding of a series of communities based on the doctrines of utopian French socialism.","the efforts by classicists to reintroduce Latin into the public school curriculum.","the Greek Revival in architecture in New England.","the movement to support the Greek war of independence of 1820-1830.","the lectures on educational topics given by a series of speakers who traveled from city to city."
31,"Horace Mann championed which of the following educational reforms?:","gradeless, open-concept schools.","local curricular decisions.","private funding and control.","professional teacher training.","all of these choices are correct.","professional teacher training."
32,"The cultural nationalism of American intellectuals of the 1800s generally?:","was based on the autocratic political systems of Europe.","celebrated the uniqueness of the American democratic spirit.","paid tribute to the superiority of the British in all artistic matters.","copied extensively the elitist values of Old World regimes.","all of these choices are correct.","celebrated the uniqueness of the American democratic spirit."
33,"The role of the ideal woman in antebellum America was to?:","create a clean and wholesome home for family life.","perform complementary tasks in the family's struggle to get ahead.","produce vital goods or earn money necessary for the family's subsistence.","pursue a rewarding and professional career.","all of these choices are correct.","create a clean and wholesome home for family life."
34,"The doctrine of  separate spheres  suggested that?:","children and parents should not mingle socially throughout the day, but gather only together at the dinner table.","moral issues were to be determined by the church, while economic issues were to be determined by the family.","men were superior in worldly pursuits, and women were superior for their moral influence.","none of these choices are correct.","all of these choices are correct.","men were superior in worldly pursuits, and women were superior for their moral influence."
34,"The doctrine of  separate spheres  suggested that?:","children and parents should not mingle socially throughout the day, but gather only together at the dinner table.","moral issues were to be determined by the church, while economic issues were to be determined by the family.","men were superior in worldly pursuits, and women were superior for their moral influence.","none of these choices are correct.","all of these choices are correct.","men were superior in worldly pursuits, and women were superior for their moral influence."
36,"One of the purposes for writing the Declaration of Independence was to?:","persuade the still undecided American populace to accept a permanent break with Great Britain.","convince potential foreign allies of American determination to gain independence.","protect captured American soldiers from possible treatment as traitors.","rally all the states behind a common cause.","convince the British government to accept American independence.","convince potential foreign allies of American determination to gain independence."
37,"American Tories believed that?:","separation from Britain was an illegal act that would ignite an unnecessary war.","Parliament had the right to tax the colonies.","only independence could preserve the colonists' constitutional rights.","the king, not Parliament, was responsible for the problems facing the colonies.","convince the British government to accept American independence.","separation from Britain was an illegal act that would ignite an unnecessary war."
38,"The Battle of Saratoga resulted in?:","an embarrassing defeat for the Continental Army.","an unsuccessful peace overture from Lord North.","France entering the war on the side of the colonies.","renewed efforts of the Loyalists to enlist colonial support.","the treason of Benedict Arnold.","France entering the war on the side of the colonies."
39,"Spinning bees and dressing down in homespun?:","contributed to the solidarity of resistance by displaying fewer differences in appearance between rich and poor.","were ways in which poor women were forced to support the Army.","were tactics used by loyalists to demonstrate that independence would lower the American standard of living.","helped to raise money and provide clothing for the Continental Army.","the treason of Benedict Arnold.","contributed to the solidarity of resistance by displaying fewer differences in appearance between rich and poor."
40,"George Washington's primary goal as commander-in-chief of the continental Army was to?:","prevent British reinforcements from coming ashore.","destroy the British Army.","avoid decisive military losses.","secure financial aid from foreign sources.","the treason of Benedict Arnold.","avoid decisive military losses."
41,"Some Indian nations joined the British during the Revolutionary War because?:","the British threatened them with destruction if they did not help.","they believed that a British victory would restrain American expansion into the West.","the British hired them as mercenaries.","none of these choices are correct.","the treason of Benedict Arnold.","they believed that a British victory would restrain American expansion into the West."
42,"Which of the following was NOT one of the provisions of the Peace of Paris (1783)?:","Florida was given to Spain.","Congress would not prevent the British merchants from collecting debts owed to them by Americans.","Congress would restore all property confiscated from Loyalists during the war.","the Mississippi River was recognized as the western boundary of the United States.","the treason of Benedict Arnold.","Congress would restore all property confiscated from Loyalists during the war."
43,"White residents in South Carolina and Georgia were more restrained in their revolutionary expressions than were counterparts","primarily rice planters, unaffected by British restrictions.","Anglican and loyal to the Church of England.","closely tied to families back in England.","fearful that talk of rebellion would inspire slaves to revolt.","the treason of Benedict Arnold.","fearful that talk of rebellion would inspire slaves to revolt."
44,"The new state constitutions adopted during the American Revolution?:","eliminated all property qualifications for voting.","generally did not contain a bill of rights.","abolished the office of governor.","provided for unicameral legislatures.","generally protected the people's civil liberties with a bill of rights.","generally protected the people's civil liberties with a bill of rights."
45,"During the Revolution, women took on new responsibilities. After the war?:","things generally went back to the way they were before and few concrete reforms occurred in the status of women.","women were able to translate wartime gains into peacetime reforms.","women were recognized and honored for their contributions with new careers.","women got the right to vote in most northern colonies.","generally protected the people's civil liberties with a bill of rights.","things generally went back to the way they were before and few concrete reforms occurred in the status of women."
46,"Which of the following was NOT TRUE about slavery as a labor system?:","slavery was worth more in terms of investment than all the land in the South.","as slavery spread into the Deep South, wealth and power became more equally shared among the various classes of white southerners.","it was slavery that made possible the South's  mass production  of agriculture products for export.","only a minority of Southerners owned slaves.","generally protected the people's civil liberties with a bill of rights.","as slavery spread into the Deep South, wealth and power became more equally shared among the various classes of white southerners."
47,"Manufacturing in the Old South lagged behind that in the North because?:","black labor was incompatible with industry.","white leaders in the South were more concerned with prestige than with profits.","the South lacked important natural resources.","cotton was a more profitable investment.","generally protected the people's civil liberties with a bill of rights.","cotton was a more profitable investment."
48,"The paternalistic view of slavery held that?:","slavery was a necessary evil that should be phased out as soon as was economically possible.","slavery was a totally unjustifiable abuse of humanity demanding immediate abolition.","slavery was an artifact of a more primitive past that would eventually fade out on its own.","slavery was necessary to keep blacks from developing their superior potential and eventually dominating the white race.","slavery was necessary to protect blacks from the mistreatment and abuse they would receive if they were freed.","slavery was necessary to protect blacks from the mistreatment and abuse they would receive if they were freed."
49,"What lesson did white southerners learn from the Nat Turner Rebellion?:","that slave insurrections were an ever-present threat.","that gradual emancipation was inevitable.","that slaves should not be allowed to work in cities.","that slaves should not be allowed to read the Bible.","slavery was necessary to protect blacks from the mistreatment and abuse they would receive if they were freed.","that slave insurrections were an ever-present threat."
50,"Hinton R. Helper's  The Impending Crisis of the South  was intended as?:","a refutation of Harriet Beecher Stowe's  Uncle Tom's Cabin .","an argument against slavery as an economic institution.","a rallying cry against abolitionism.","a condemnation of the violent acts of Preston Brooks.","a rational defense of the practice of slavery.","an argument against slavery as an economic institution."
51,"Antislavery sentiment underlay the formation in 1840 of the?:","Democratic Party.","Union Party.","Liberty Party.","Republican Party.","Know-Nothing Party.","Liberty Party."
52,"Which was true of free blacks living in the North during the thirty years prior to the Civil War?:","all Northern states granted free blacks the right to vote.","public facilities were integrated.","economic opportunities for employment matched those given to recent immigrants.","free public education was open to blacks.","racial tensions often exploded into riots.","racial tensions often exploded into riots."
53,"The American Colonization Society was an antislavery organization that?:","advocated racial equality.","sought full political rights for blacks.","favored immediate emancipation.","advocated the forced shipment of freed slaves to Africa.","relied upon governmental action to end slavery.","advocated the forced shipment of freed slaves to Africa."
