ID, question, Option 1, Option 2, Option 3, Option 4, Answer
1,"In the Ancient Kingdom of Mali and in the Roman Republic, an important feature of life was the development of","codified laws","social and political equality","the Islamic religion","agricultural communes","codified laws"
2,"Which statement best explains the periods of the Gupta Empire of India, the Golden Age of Greece, and the Renaissance in Italy?","the winning of a war often inspires scientific and artistic achievement","a combination of wealth and a time of relative peace often leads to cultural achievement","a dictatorship usually encourages cultural growth and development","periods of censorship are needed for a nation to achieve cultural and scientific greatness","a combination of wealth and a time of relative peace often leads to cultural achievement"
3,"One way in which Medieval European society, Latin American colonial society, and society in Imperial China were similar is that each","placed great value on public education","experienced a surplus of skilled labor","was organized according to a rigid class structure","de-emphasized the role of religion","was organized according to a rigid class structure"
4,"Which idea did Napoleon Bonaparte, Sun Yat-Sen, and Simone Bolivar have in common?","divine right","nationalism","totalitarianism","nonviolence","nationalism"
5,"Eighteenth-century Russia and nineteenth-century Japan were similar in that both countries","began the process of modernization after a long period of isolation","developed democratic governments after years under absolute monarchies","refused to accept western technological ideas","adopted socialist economic systems after capitalism had failed","began the process of modernization after a long period of isolation"
6,"Until the 1500 s, China and Japan were similar in that both","were invaded by the Mongols","welcomed Christian Missionaries","had little contact with Western European nations","were developing democratic traditions","had little contact with Western European nations"
7,"During the Middle Ages, Europeans did not eat potatoes or corn because these vegetables","were forbidden by the Catholic Church for religious reasons","had not yet been introduced to Europe from the New World","were believed to be poisonous","were too expensive to import from China","had not yet been introduced to Europe from the New World"
8,"One way in which Medieval European society, Latin American colonial society, and society in Imperial China were similar is that each","placed great value on public education","experienced a surplus of skilled labor","was organized according to a rigid class structure","de-emphasized the role of religion","was organized according to a rigid class structure"
9,"The societies of traditional China, Feudal Japan, and Czarist Russia were all characterized by","a rigid class structure","much interaction with other cultures","great economic change","rapidly changing social values","a rigid class structure"
10,"One similarity between the decline of the Roman Empire and the fall of the Manchu Dynasty was that both initially led to","improved economic conditions","democratically elected governments","political chaos and decentralization of government","major accomplishments in art, science, and technology","political chaos and decentralization of government"
11,"The Japanese feudal system and the Hindu caste system are similar in that both systems","promoted social mobility","developed a rigid class structure","encouraged the people to take part in government","resulted in economic opportunities for the lower classes","developed a rigid class structure"
12,"Eighteenth-century Russia and nineteenth-century Japan were similar in that both countries","began the process of modernization after a long period of isolation","developed democratic governments after years under absolute monarchies","refused to accept western technological ideas","adopted socialist economic systems after capitalism had failed","began the process of modernization after a long period of isolation"
13,"Changes in Russia under Peter the Great were most similar to changes that occurred in","China before the Opium War","Japan during the Meiji Restoration","Iran after the fall of Shah Pahlevi","France during the feudal period","Japan during the Meiji Restoration"
14,"The Tamils in Sri Lanka, the Sikhs in India, and the Zulus in South Africa have all attempted to","establish colonies in Asia","practice passive resistance","achieve political separatism","encourage mercantilism","achieve political separatism"
15,"Which was characteristic of France under Napoleon s rule and Germany under Hitler s rule?","democratic ideas and diversity were encouraged","authoritarian control and a strong sense of nationalism prevailed","peaceful relations with neighboring countries wee fostered","artistic and literary freedom flourished","authoritarian control and a strong sense of nationalism prevailed"
16,"A study of the French Revolution and the Russian Revolution of 1917 would lead to the conclusion that","revolutions only occur when a majority of citizens become directly involved","university students are most often responsible for starting revolutions","control of revolutions often shifts from moderates to radicals","revolutions seldom result in long-term changes","control of revolutions often shifts from moderates to radicals"
17,"The French Revolution, the Bolshevik Revolution in Russia, and the Communist Revolution in China were similar in that all three","brought about few political changes","were influenced by the peasants  desire for more land","were inspired by Marxism","were supported primarily by the nobility","were influenced by the peasants  desire for more land"
18,"The ancient Greek city-state of Sparta and the Soviet Union under Stalin were similar in that both societies","were primarily concerned with the health of their people","were powerful military states","granted universal suffrage to their people","placed great emphasis on literature and the arts","were powerful military states"
19,"In China, the building of the Great Wall, the use of the tribute system, and the government s support of the Boxer Rebellion are examples of attempts by different dynasties to limit","foreign influence","nationalism","communist expansion","industrialization","foreign influence"
20,"The French Revolution of 1789 and the Cuban Revolution of 1959 were similar in that both were caused primarily by the","desire of the people to be free from foreign rule","pressure of religious leaders for government reform","failure of the government to meet the needs of the people","ambition of the upper class to attain wealth and property","failure of the government to meet the needs of the people"
21,"The philosophies of Confucius and Mao Zedong both emphasized","individual rather than cooperative gain","industry rather than agriculture","group rather than individual welfare","religious values rather than economic profits","group rather than individual welfare"
22,"Japan during the Meiji Restoration was similar to Japan after World War II in that during these periods Japan","pursued a foreign policy of isolationism and limited political freedoms","reduced the powers of the Emperor and the nobility","underwent political reform and economic expansion","was ruled by dictators and the military","underwent political reform and economic expansion"
23,"Since the late 1940 s, India, Northern Ireland, and Israel have faced the common problem of","adjusting to a post-Communist political and economic system","continued violent confrontations between different religious groups","economic depression as a result of rapid industrialization","uncertainty of their acceptance by the European Community","continued violent confrontations between different religious groups"
24,"The events that led to the overthrow of Czar Nicholas II in 1917 and to the forced resignation of Mikhail Gorbachev in 1991 show that","economic crises often lead to political change","Russian absolutism continued into the 1990 s","international conflicts often strengthen the power of leaders","Russia is an ethnically unified nation","economic crises often lead to political change"
25,"Events in both Eastern Europe in the early 1900 s and in the Soviet Union in the late 1980 s were mainly the result of","movements toward the repression of individual rights","declines in the use of advanced technology","the influence of religion on government","challenges by ethnic groups desiring independence","challenges by ethnic groups desiring independence"
26,"During the late 1980 s and early 1990 s, the Soviet Union experienced ethnic tensions that were most similar to those experienced by","Japan in the early 17th century","Austria-Hungary in the late 19th century","Spain in the mid-18th century","Cuba in the late 20th century","Austria-Hungary in the late 19th century"
27,"The Holocaust in Europe and the actions of the Khmer Rouge in Kampuchea (Cambodia) were similar in that they were examples of","Interdependence","Segregation","Genocide","Empathy","Genocide"
28,"One similarity between Mao Zedong and Fidel Castro is that they","achieved their goals through the use of peaceful resistance","worked to protect citizens  rights to freedom of expression","considered capitalism to be the best economic system","led revolutionary movements that established communist governments","led revolutionary movements that established communist governments"
29,"Germany Will Make Reparations For WWI    OPEC Supports Oil Embargo Against Western Nations","economic measures are often designed to achieve political goals","communism as an economic system has failed","economic policies are often formulated to encourage investment","nationalism plays a small role in economic decisionmaking","economic measures are often designed to achieve political goals"
30,"A study of the policy of  ethnic cleansing  in Bosnia and the Holocaust in Europe would suggest that","world opinion is effective in stopping genocide","countries generally use reason and negotiation in dealing with important ethnic issues","anti-Semitism and ethnic hatred remain powerful forces in the 20th century","military leaders cannot be held responsible for acts committed during wartime","anti-Semitism and ethnic hatred remain powerful forces in the 20th century"
31,"Which factor has most limited the development of national unity in India, Lebanon, and Bosnia-Herzegovina?","lack of natural resources","inability to end colonialism","religious and ethnic differences","rapid growth of industry","religious and ethnic differences"
32,"Both the Chinese Mandate of Heaven and the Japanese belief that the Emperor descends from the Sun Goddess are similar to the","master race  theory of Adolf Hitler s Third Reich","natural rights theory of the Age of Reason","divine right theory of the French monarchy","Marxist theory of a workers  revolution","divine right theory of the French monarchy"
33,"One way in which the caste system and apartheid were similar is that both","described specific religious practices and beliefs","supported a rigid class structure","were created by British colonial governments","gave power to the lower classes in their respective societies","supported a rigid class structure"
34,"Within their respective nations, both Ho Chi Minh and Fidel Castro achieved their goals by","seeking aid and support from the European Union","using armed conflict to bring a communist government to power","following a policy of nonalignment","working to build a capitalist system","using armed conflict to bring a communist government to power"
35,"One way in which the Meiji Restoration in Japan and the Golden Age of India are similar is that in each region these events led to","the persecution of minority peoples","periods of rapid change","the rise of feudalism as the dominant political system","governments ruled by absolute monarchs","periods of rapid change"
36,"The Sepoy Rebellion in India and the Boxer Rebellion in China were similar in that both were","attempts to improve foreign trade","nonviolent resistance efforts","revolts against foreign influence","revolutions against traditional monarchs","revolts against foreign influence"
37,"Suleiman held complete religious and political power.  Charles I stormed the English Parliament.","scientific theory","natural rights","mercantilism","absolutism","absolutism"
38,"What would a study of the recent civil wars in Cambodia, Bosnia-Herzegovina, and Rwanda show about these conflicts?","Ethnic conflict was not a factor in the late 20th century.","The United Nations was successful in resolving these disputes.","Genocide was used as a political and military tactic.","Civilians were not affected by these disputes.","Genocide was used as a political and military tactic."
39,"A similarity of the goals of Nelson Mandela and Mohandas Gandhi is that both leaders wanted to","secure political power for the majority of the people","encourage a greater degree of industrialization","improve the economy by expanding governmental control","gain independence from the Soviet Union","secure political power for the majority of the people"
40,"Statement 1:   This organization is created for the purpose of realizing the national ideal:","War is a means of achieving national policies.","Industrial growth is critical to a country s prosperity.","Social class differences are the source of all conflicts.","Self-determination of the people is an important goal.","Self-determination of the people is an important goal."
41,"One way in which Sim n Bol var, Jomo Kenyatta, and Ho Chi Minh are similar is that each leader","sought independence from colonial rule","ruled during a period of peace and prosperity","demanded human rights for all citizens","established a totalitarian government","sought independence from colonial rule"
42,"Which document is an example of a primary source?","a textbook on Russian history","an encyclopedia article on religions of the Middle East","a novel on the Age of Exploration","the diary of a survivor of a Nazi death camp","the diary of a survivor of a Nazi death camp"
43,"Which historical events are in the correct chronological order?","Crusades -> Renaissance -> Neolithic Revolution -> Roman Empire","Roman Empire -> Neolithic Revolution -> Crusades -> Renaissance","Renaissance ->Neolithic Revolution -> Crusades -> Roman Empire","Neolithic Revolution -> Roman Empire -> Crusades -> Renaissance","Neolithic Revolution -> Roman Empire -> Crusades -> Renaissance"
44,"The United Nations Declaration of Human Rights","secondary sources","examples of oral traditions","primary sources","statements of different religious beliefs","primary sources"
45,"Which statement best explains why most of the population of the people s Republic of China live in the eastern third of the nation?","best agricultural land is in the East","largest forests are in the East","best fishing areas are off the eastern coast","largest oil deposits are in the East","best agricultural land is in the East"
