ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
1,"All of the following are accurate descriptions of modern marketing, EXCEPT which one?","Marketing is the creation of value for customers.","Marketing is managing profitable customer relationships.","Selling and advertising are synonymous with marketing.","Marketing involves satisfying customers' needs.","Marketing is used by for-profit and not-for-profit organizations.","Selling and advertising are synonymous with marketing."
2,"According to the opening scenario, the Tide marketing team is MOST concerned about which of the following?","maintaining its brand share","fostering customers' emotional connections with their product","advertising their product's benefits","comparing the effectiveness of their product to other brands","incorporating consumer-generated marketing in the marketing mix","fostering customers' emotional connections with their product"
3,"According to management guru Peter Drucker, The aim of marketing is to ________.","create customer value","identify customer demands","make selling unnecessary","set realistic customer expectations","sell products","make selling unnecessary"
4,"________ is defined as a social and managerial process by which individuals and organizations obtain what they need and want through value creation and exchange.","Selling","Advertising","Bartering","Marketing","Negotiating","Marketing"
5,"Which steps of the five-step marketing process are about understanding customers, creating customer value, and building strong customer relationships?","the first two only","the first three only","the first four only","the last three only","the last four only","the first four only"
6,"According to the simple five-step model of the marketing process, a company needs to ________ before designing a customer-driven marketing strategy.","determine how to deliver superior value","build profitable relationships with customers","use customer relationship management to create full partnerships with key customers","understand the marketplace and customer needs and wants","construct key components of a marketing program","understand the marketplace and customer needs and wants"
7,"________ are human needs as shaped by individual personality and culture.","Needs","Wants","Demands","Values","Exchanges","Wants"
8,"When backed by buying power, wants become ________.","social needs","demands","physical needs","self-esteem needs","exchanges","demands"
9,"What do companies call a set of benefits that they promise to consumers to satisfy their needs?","market offering","value proposition","demand satisfaction","need proposition","evoked set","market offering"
10,"Which of the following refers to sellers being preoccupied with their own products and losing sight of underlying consumer needs?","selling myopia","marketing management","value proposition","marketing myopia","the product concept","marketing myopia"
11,"When marketers set low expectations for a market offering, the biggest risk they run is ________.","disappointing loyal customers","decreasing customer satisfaction","failing to attract enough customers","failing to understand their customers' needs","incorrectly identifying a target market","failing to attract enough customers"
12,"________ is the act of obtaining a desired object from someone by offering something in return.","A value proposition","Exchange","Bribery","Value creation","Donation","Exchange"
13,"A  ________ is the set of actual and potential buyers of a product.","market","audience","group","segment","exchange","market"
