ID, question, Option 1, Option 2, Option 3, Option 4, Answer
None,None,None,None,None,None,None
2,"Fertilization of an ovum outside a woman's body is called","artificial insemination.","in vitro fertilization.","eugenics.","genetic engineering.","in vitro fertilization."
2,"Fertilization of an ovum outside a woman's body is called","artificial insemination.","in vitro fertilization.","eugenics.","genetic engineering.","in vitro fertilization."
4,"The first milk produced by a woman in the first few days after giving birth is called","formula.","enrichment.","colostrum.","amniocentesis.","colostrum."
4,"The first milk produced by a woman in the first few days after giving birth is called","formula.","enrichment.","colostrum.","amniocentesis.","colostrum."
6,"Studies of the Head Start Program indicate that","children improve their school performance and abilities.","early childhood educational programs are a waste of the taxpayers' money.","the gains are about the same as if the child was in a caring environment.","children improve their performance while they are in the program but lose it in elementary school.","children improve their school performance and abilities."
6,"Studies of the Head Start Program indicate that","children improve their school performance and abilities.","early childhood educational programs are a waste of the taxpayers' money.","the gains are about the same as if the child was in a caring environment.","children improve their performance while they are in the program but lose it in elementary school.","children improve their school performance and abilities."
8,"When a gene is __________, the trait it controls will be present every time the gene is present.","recessive","dominant","polygenic","sex-linked","dominant"
8,"When a gene is __________, the trait it controls will be present every time the gene is present.","recessive","dominant","polygenic","sex-linked","dominant"
10,"Which represents the correct order of Piaget's stages of intellectual development?","sensorimotor, concrete operational, formal operational, postoperational","preoperational, concrete operational, formal operational, sensorimotor","sensorimotor, preoperational, concrete operational, formal operational","preoperational, informal operational, formal operational, postoperational","sensorimotor, preoperational, concrete operational, formal operational"
10,"Which represents the correct order of Piaget's stages of intellectual development?","sensorimotor, concrete operational, formal operational, postoperational","preoperational, concrete operational, formal operational, sensorimotor","sensorimotor, preoperational, concrete operational, formal operational","preoperational, informal operational, formal operational, postoperational","sensorimotor, preoperational, concrete operational, formal operational"
12,"Compared to mothers, fathers spend more time","playing with the infant.","feeding and care giving their infants.","providing routine child care.","that does not involve visual contact with the infant.","playing with the infant."
12,"Compared to mothers, fathers spend more time","playing with the infant.","feeding and care giving their infants.","providing routine child care.","that does not involve visual contact with the infant.","playing with the infant."
14,"When parents around the world use a short, sharp rhythm, they are","warning their baby.","comforting their baby.","calling attention to objects.","praising their baby.","warning their baby."
14,"When parents around the world use a short, sharp rhythm, they are","warning their baby.","comforting their baby.","calling attention to objects.","praising their baby.","warning their baby."
16,"The three basic emotions which appear to be unlearned but take time to develop are","affection, anger, fear.","excitement, jealousy, anger.","delight, jealousy, fear.","anger, fear, joy.","anger, fear, joy."
16,"The three basic emotions which appear to be unlearned but take time to develop are","affection, anger, fear.","excitement, jealousy, anger.","delight, jealousy, fear.","anger, fear, joy.","anger, fear, joy."
18,"Which of the following most clearly demonstrates the existence of emotional attachment?","separation anxiety","learning to walk","imprinting","language development","separation anxiety"
18,"Which of the following most clearly demonstrates the existence of emotional attachment?","separation anxiety","learning to walk","imprinting","language development","separation anxiety"
20,"The grasping, rooting, and sucking reflexes of infants are best described as","fixed action patterns.","instincts.","conditioned reflexes.","adaptive reflexes.","adaptive reflexes."
20,"The grasping, rooting, and sucking reflexes of infants are best described as","fixed action patterns.","instincts.","conditioned reflexes.","adaptive reflexes.","adaptive reflexes."
22,"According to Chomsky, humans have a __________ to develop language.","perceptual set","telegraphic readiness","learning set","biological predisposition","biological predisposition"
22,"According to Chomsky, humans have a __________ to develop language.","perceptual set","telegraphic readiness","learning set","biological predisposition","biological predisposition"
24,"During the formal operations stage, children begin to","accurately use concepts of time, space, and number.","think primarily about concrete objects or situations.","develop the concept of object permanency.","think in terms of abstract principles and hypothetical possibilities.","think in terms of abstract principles and hypothetical possibilities."
24,"During the formal operations stage, children begin to","accurately use concepts of time, space, and number.","think primarily about concrete objects or situations.","develop the concept of object permanency.","think in terms of abstract principles and hypothetical possibilities.","think in terms of abstract principles and hypothetical possibilities."
26,"__________ is an example of a congenital problem.","Williams Syndrome","Exposure to radiation","Down's Syndrome","Color blindness","Exposure to radiation"
26,"__________ is an example of a congenital problem.","Williams Syndrome","Exposure to radiation","Down's Syndrome","Color blindness","Exposure to radiation"
28,"Harlow's studies of surrogate mothers show that","infant monkeys prefer the cloth surrogate only when it is the source of food.","the wire surrogate is preferred because of its association with food.","when frightened, infants run to the cloth surrogates for security and contact.","attachment to the wire &quot;feeding mothers&quot; is identical to that displayed toward real mothers.","when frightened, infants run to the cloth surrogates for security and contact."
28,"Harlow's studies of surrogate mothers show that","infant monkeys prefer the cloth surrogate only when it is the source of food.","the wire surrogate is preferred because of its association with food.","when frightened, infants run to the cloth surrogates for security and contact.","attachment to the wire &quot;feeding mothers&quot; is identical to that displayed toward real mothers.","when frightened, infants run to the cloth surrogates for security and contact."
30,"Harlow's finding that baby monkeys prefer a terrycloth surrogate mother to a wire mother demonstrates the importance of","imprinting or critical periods.","contact comfort.","acceptance.","good nutrition.","contact comfort."
